X,Y,annualmean,annualvariance,annualstddev,directionannualmean,objectid
-10802442.2129,2999080.9433,0.20653497,0.02513422,0.15853775,348.0468219,145556
-10802442.2129,3008992.6646,0.19595738,0.0228506,0.15116416,346.30518193,145557
-10802442.2128,3018911.1618,0.18973137,0.02066445,0.14375135,10.0569542,145558
-10802442.2129,3028836.4637,0.18609989,0.02002336,0.14150392,3.76458803,145559
-10802442.2129,3038768.5994,0.18406481,0.01921448,0.13861629,2.6048348,145560
-10802442.2129,3048707.5973,0.18043657,0.01797617,0.13407524,357.92014506,145561
-10802442.2129,3058653.4863,0.17392164,0.01628878,0.12762751,359.06551881,145562
-10802442.2128,3068606.2958,0.1676641,0.01461793,0.12090465,6.03128809,145563
-10802442.2129,3078566.0544,0.16310099,0.013382,0.11568058,16.40852884,145564
-10802442.2128,3088532.7915,0.16291399,0.01267492,0.11258293,28.53167599,145565
-10802442.2129,3098506.5361,0.16275299,0.01231956,0.1109935,35.8913787,145566
-10802442.2129,3108487.3177,0.16093108,0.01218327,0.11037786,39.06102311,145567
-10802442.2129,3118475.1658,0.16005817,0.01213702,0.11016814,44.12859693,145568
-10802442.2129,3128470.11,0.16052236,0.01238066,0.11126839,48.00673607,145569
-10802442.2128,3138472.1796,0.16115728,0.01277683,0.11303463,49.18610583,145570
-10802442.2129,3148481.4044,0.16080259,0.01321808,0.11496992,46.6392499,145571
-10802442.2129,3158497.8142,0.16086492,0.01353527,0.11634118,52.4709057,145572
-10802442.2129,3168521.439,0.16239338,0.01380736,0.11750472,73.14929945,145573
-10802442.2129,3178552.3086,0.16491319,0.01420161,0.11917049,115.31937076,145574
-10802442.2129,3188590.4531,0.16397642,0.01418287,0.11909187,256.02089542,145575
-10802442.2129,3198635.9029,0.16111782,0.01347318,0.11607403,254.83961186,145576
-10802442.2129,3208688.6878,0.13546057,0.00946797,0.09730351,294.44269651,145577
-10802442.2129,3218748.8384,0.09255674,0.00429155,0.06550995,343.26293521,145578
-10793536.6527,2999080.9435,0.19917531,0.02313108,0.15208906,2.61192584,145579
-10793536.6527,3008992.6645,0.18925127,0.02108367,0.14520217,359.46988853,145580
-10793536.6527,3018911.1618,0.18270543,0.01917504,0.13847396,6.93390434,145581
-10793536.6527,3028836.4639,0.1780332,0.01795201,0.1339851,7.64526735,145582
-10793536.6527,3038768.5994,0.17447239,0.01690062,0.13000239,7.23966676,145583
-10793536.6527,3048707.5973,0.17066266,0.01571264,0.12535007,6.38981308,145584
-10793536.6528,3058653.4863,0.16616142,0.01437903,0.11991261,13.32241667,145585
-10793536.6527,3068606.2958,0.1607739,0.01318095,0.11480831,23.06880855,145586
-10793536.6527,3078566.0544,0.15523608,0.01218742,0.11039663,42.10273836,145587
-10793536.6527,3088532.7915,0.15239881,0.01150061,0.10724089,61.49466372,145588
-10793536.6528,3098506.5361,0.15121217,0.0110577,0.10515558,73.44311429,145589
-10793536.6527,3108487.3178,0.14967531,0.01092128,0.10450491,79.00275383,145590
-10793536.6527,3118475.1659,0.14942496,0.01093365,0.10456412,83.06666477,145591
-10793536.6527,3128470.11,0.14993712,0.01116788,0.10567817,86.28544957,145592
-10793536.6527,3138472.1796,0.15118149,0.01152912,0.10737372,91.36024058,145593
-10793536.6527,3148481.4044,0.1525393,0.01218373,0.11037995,103.07994457,145594
-10793536.6527,3158497.8142,0.1560545,0.01274938,0.11291313,110.07182134,145595
-10793536.6527,3168521.4391,0.1606227,0.01338885,0.11571019,110.36682934,145596
